user_id,action,date
932855163050401833,add,9/1/2025
1402789664825409566,add,9/8/2025
1402784740074848338,add,9/15/2025
472118289464688641,add,9/22/2025
1402819402927439982,add,9/29/2025
472118289464688641,add,10/6/2025
1125304752503267400,add,10/13/2025
1403267352220667914,add,10/20/2025
653850758168444928,add,10/27/2025
1204875192724095016,add,11/3/2025
1402793707312250940,add,11/10/2025
1203588849331081276,add,11/17/2025
801564973255491594,add,11/24/2025
1401233663072403628,add,12/1/2025
1203588849331081276,remove,9/1/2025
801564973255491594,remove,9/8/2025
1401233663072403628,remove,9/15/2025
932855163050401833,remove,9/22/2025
1402789664825409566,remove,9/29/2025
1402784740074848338,remove,10/6/2025
472118289464688641,remove,10/13/2025
1402819402927439982,remove,10/20/2025
472118289464688641,remove,10/27/2025
1125304752503267400,remove,11/3/2025
1403267352220667914,remove,11/10/2025
653850758168444928,remove,11/17/2025
1204875192724095016,remove,11/24/2025
1402793707312250940,remove,12/1/2025